State,Median House Price,Monthly Payment
Hawaii,619000,2951.63318
District of Columbia,567800,2707.491631
California,550800,2626.429007
Massachusetts,408100,1945.979807
Washington,393800,1877.791836
Colorado,381300,1818.186965
Utah,351100,1674.181599
Oregon,350600,1671.797404
New Jersey,329000,1568.800188
Alaska,326000,1554.495019
New York,305300,1455.789354
Nevada,291800,1391.416094
Maryland,290500,1385.217187
Rhode Island,284200,1355.176332
New Hampshire,280400,1337.056452
Idaho,274200,1307.492436
Virginia,264200,1259.80854
Arizona,257600,1228.337168
Connecticut,244800,1167.301781
Montana,242100,1154.427129
Minnesota,239900,1143.936672
Florida,237900,1134.399893
Maine,237800,1133.923054
Delaware,236300,1126.770469
Wyoming,236100,1125.816791
Vermont,210600,1004.222856
North Dakota,210000,1001.361822
Texas,199900,953.2010867
New Mexico,197400,941.2801126
South Dakota,194700,928.4054606
Georgia,193500,922.6833931
Wisconsin,191600,913.6234528
North Carolina,189900,905.5171904
Illinois,183500,874.9994968
Pennsylvania,176500,841.6207694
Tennessee,170800,814.4409485
South Carolina,170700,813.9641096
Nebraska,169900,810.1493979
Missouri,163700,780.5853822
Michigan,154500,736.7161976
Indiana,148700,709.0595377
Kentucky,148400,707.6290208
Louisiana,147600,703.8143091
Iowa,146500,698.5690806
Ohio,142600,679.972361
Kansas,141500,674.7271324
Alabama,134300,640.3947271
Mississippi,130200,620.8443296
Arkansas,129500,617.5064569
Oklahoma,125400,597.9560594
West Virginia,99000,472.0705732
